S/N,Constituency,Party,Position,Candidate Name,Age,Gender,Qualifications,Image
1,Nigeria ,A,Presidential,Imumolen Irene Christopher,38,M,SSC Bachelor of Engineering (Mechanical Engineering),https://uploads-ssl.webflow.com/63adac8f268d18400d82f06f/63f50904564d42695ae2289b_%20A%20party-Presidential-IMUMOLEN%20IRENE%20CHRISTOPHER_.png
3,Nigeria ,AA,Presidential,Almustapha Hamza,62,M,F.L.S.C WAEC NDACE,https://uploads-ssl.webflow.com/63adac8f268d18400d82f06f/63f508582c674faa6483a4a7_ALMUSTAPHA%20HAMZA.png
5,Nigeria ,AAC,Presidential,Sowore Omoyele Stephen,51,M,FSLC WAEC Master's Degree,https://uploads-ssl.webflow.com/63adac8f268d18400d82f06f/63f50dd0a40585d38c9ce598_Sowore%20Omoyele%20Stephen.png
7,Nigeria ,ADC,Presidential,Kachikwu Dumebi,48,M,FLSC WAEC,https://uploads-ssl.webflow.com/63adac8f268d18400d82f06f/63f5073b27bda75cc33ffd93_ADC-%20Presidential-%20KACHIKWU%20DUMEBI.png
9,Nigeria ,ADP,Presidential,Sani Yabagi Yusuf,68,M,FSLC Secondary School Certificate BSC,https://uploads-ssl.webflow.com/63adac8f268d18400d82f06f/63f50ad66e31185d33e62020_ADP-%20Presidential-%20SANI%20YABAGI%20YUSUF.png
11,Nigeria ,APC,Presidential,Tinubu Bola Ahmed,70,M,BSC Business and Administration,https://uploads-ssl.webflow.com/63adac8f268d18400d82f06f/63f472cb596f1a5d2100b291_APC.png
13,Nigeria ,APGA,Presidential,Umeadi Peter Nnanna Chukwudi,67,M,"St. MACHael's Primary School Umuahia WAEC, Christ the King College, Onitsha LL.B, (Hons), BL. UNN and Nigeria Law School Lagos",https://uploads-ssl.webflow.com/63adac8f268d18400d82f06f/63f506e07f3efd429241f9b6_APGA-%20Presidential-%20UMEADI%20PETE.png
15,Nigeria,APM,Presidential,Ojei Princess Chichi,44,F,"American International School (AIS), AIS/Agos Lerosey Rolle, Switzerland",https://uploads-ssl.webflow.com/63adac8f268d18400d82f06f/63f50d06c7237e57b4f25b6d_APM-%20Presidential-%20OJEI%20PRINCESS%20CHICHI.png
17,Nigeria,APP,Presidential,Nnadi Charles Osita,49,M,"First School Leaving Certificate, Senior Secondary School Certificate",https://uploads-ssl.webflow.com/63adac8f268d18400d82f06f/63f50b69593cefe6b7d50584_APP-%20Presidential-%20NNADI%20CHARLES%20OSITA.png
19,Nigeria,BP,Presidential,Adenuga Sunday Oluwafemi,48,M,"First School Leaving Certificate, SSCE, Master of Science",https://uploads-ssl.webflow.com/63adac8f268d18400d82f06f/63f50552df017b495ded7b64_BP-%20Presidential-%20ADENUGA%20SUNDAY%20OLUWAFEMI.png
21,Nigeria,LP,Presidential,Obi Peter Gregory,61,M,"FSLC, WASC/GCE, Degree",https://uploads-ssl.webflow.com/63adac8f268d18400d82f06f/63f472cc2a45bb5258b84804_NP.png
23,Nigeria,NNPP,Presidential,Musa Mohammed Rabiu Kwankwaso,66,M,"First School Leaving Certificate, Technical Training Certificate, Craft Training Certificate, OND, HND, Post Graduate Diploma, Master of Science (MSc), PhD (Water)",https://uploads-ssl.webflow.com/63adac8f268d18400d82f06f/63f472cb605c2a3bee6c9678_ANNP.png
25,Nigeria,NRM,Presidential,Osakwe Felix Johnson,57,M,"NABTEB (NBC/NTC & ANBC/ ANTC), First School Leaving Certificate, B.A, MSc",https://uploads-ssl.webflow.com/63adac8f268d18400d82f06f/63f508582c674faa6483a4a7_ALMUSTAPHA%20HAMZA.png
27,Nigeria,PDP,Presidential,Abubakar Atiku,75,M,"GCE, Masters",https://uploads-ssl.webflow.com/63adac8f268d18400d82f06f/63f472cb7df68fcf953641e4_PDP.png
29,Nigeria,PRP,Presidential,Abiola Latifu Kolawole,60,M,"School Leaving Certificate, WAEC, BSC, MBA & MSC",https://uploads-ssl.webflow.com/63adac8f268d18400d82f06f/63f50550b0f713a2190adf02_PRP-%20Presidential-%20ABIOLA%20LATIFU%20KOLAWOLE.png
31,Nigeria,SDP,Presidential,Adebayo Adewole Ebenezer,50,M,"F.L.S.C, SSCE, LLB",https://uploads-ssl.webflow.com/63adac8f268d18400d82f06f/63f5096e42f8061424cd5bc8_SDP-%20Presidential-%20ADEBAYO%20ADEWOLE%20EBENEZER.png
33,Nigeria,YPP,Presidential,Ado-Ibrahim Abdulmalik,58,M,"Preparatory High School Diploma, Bachelor of Science in Economics",https://uploads-ssl.webflow.com/63adac8f268d18400d82f06f/63f50e6e21434f515a0e13cb_Picture1.png
35,Nigeria,ZLP,Presidential,Nwanyanwu Daniel Daberechukwu,62,M,"West African School Certificate, Bachelor of Laws",https://uploads-ssl.webflow.com/63adac8f268d18400d82f06f/63f50f14641c451296d32033_Picture1.png
