State,APC,PDP,PCP,ADC,APGA
Abia,85058,219698,1489,336,9638
Adamawa,378078,410266,3670,3989,159
Akwa Ibom,175429,395832,1902,230,61
Anambra,33298,524738,4374,227,30034
Bauchi,798428,209313,2104,296,149
Bayelsa,118821,197933,1584,1078,53
Benue,347668,356817,2793,554,4582
Borno,836496,71788,1563,301,187
Cross River,117302,295737,2033,326, 43
Delta,221292,594068,2753,1075,145
Ebonyi,90726,258573,1637,213,222
Edo,267842,275691,3526,850,143
Ekiti,219231,154032,2299,406,39
Enugu,54423,355553,2337,348,1618
Federal Capital Territory,152224,259997,2921,246,255
Gombe,402961,138484,1679,248,124
Imo,140463,334923,4883,541,10880
Jigawa,794738,289895,2761,261, 140
Kaduna,993445,649612,4027,558,749
Kano,1464768,391593,3568,591,549
Katsina,1232133,308056,2399,237,331
Kebbi,581552,154282,1794,285,228
Kogi,285894,218207,2207,4369,318
Kwara,308984,138184,2108,456,89
Lagos,580825,448015,8458,2915,499
Nassarawa,289903,283847,1868,339,1523
Niger,612371,218052,2855,588,389
Ogun,281762,194655,3563,25283,222
Ondo,241769,275901,4829,6296,90
Osun,347634,337377,4888,1525,73
Oyo,365229,366690,5352,40830,197
Plateau,468555,548665,4276,590,160
Rivers,150710,473971,2954,597,614
Sokoto,490333,361604,2630,331,313
Taraba,324906,374743,321,211,1071
Yobe,497914,50763,2107,162,226
Zamfara,438682,125423,774,186,738
